Part 1: 3068
Rock num: 21200 (273074.43 rocks/s), 3662010s/61033m/1017.22h/42.38d remaining; height: 0r42
Rock num: 21600 (273140.57 rocks/s), 3661126s/61018m/1016.97h/42.37d remaining; height: 0r63
Rock num: 22200 (272979.65 rocks/s), 3663285s/61054m/1017.57h/42.40d remaining; height: 0r1
Rock num: 22800 (273103.37 rocks/s), 3661622s/61027m/1017.12h/42.38d remaining; height: 0r136
Rock num: 24200 (273060.04 rocks/s), 3662198s/61036m/1017.27h/42.39d remaining; height: 0r117
Rock num: 24400 (273060.40 rocks/s), 3662198s/61036m/1017.27h/42.39d remaining; height: 0r42
Rock num: 24800 (273128.23 rocks/s), 3661286s/61021m/1017.02h/42.38d remaining; height: 0r60
Rock num: 25800 (272991.71 rocks/s), 3663124s/61052m/1017.53h/42.40d remaining; height: 0r19
Rock num: 26200 (273156.34 rocks/s), 3660911s/61015m/1016.92h/42.37d remaining; height: 0r49
Rock num: 28200 (273044.41 rocks/s), 3662413s/61040m/1017.33h/42.39d remaining; height: 0r186
Rock num: 28400 (273042.63 rocks/s), 3662440s/61040m/1017.33h/42.39d remaining; height: 0r90
Rock num: 28600 (273086.32 rocks/s), 3661850s/61030m/1017.17h/42.38d remaining; height: 0r199
Rock num: 28800 (273106.86 rocks/s), 3661581s/61026m/1017.10h/42.38d remaining; height: 0r125
Rock num: 29600 (273059.26 rocks/s), 3662212s/61036m/1017.27h/42.39d remaining; height: 0r167
Rock num: 30000 (273117.17 rocks/s), 3661434s/61023m/1017.05h/42.38d remaining; height: 0r185
Rock num: 31000 (273005.88 rocks/s), 3662936s/61048m/1017.47h/42.39d remaining; height: 0r146
Rock num: 31400 (273141.69 rocks/s), 3661112s/61018m/1016.97h/42.37d remaining; height: 0r174
Rock num: 31600 (273085.39 rocks/s), 3661863s/61031m/1017.18h/42.38d remaining; height: 0r90
Rock num: 32000 (273180.89 rocks/s), 3660589s/61009m/1016.82h/42.37d remaining; height: 0r113
Rock num: 32400 (273046.50 rocks/s), 3662386s/61039m/1017.32h/42.39d remaining; height: 0r153
Rock num: 33000 (273071.02 rocks/s), 3662051s/61034m/1017.23h/42.38d remaining; height: 0r73
Rock num: 33200 (273161.60 rocks/s), 3660844s/61014m/1016.90h/42.37d remaining; height: 0r185
Rock num: 33400 (273095.87 rocks/s), 3661729s/61028m/1017.13h/42.38d remaining; height: 0r112
Rock num: 33800 (273147.06 rocks/s), 3661032s/61017m/1016.95h/42.37d remaining; height: 0r124
Rock num: 34800 (273085.64 rocks/s), 3661863s/61031m/1017.18h/42.38d remaining; height: 0r90
Rock num: 35600 (273147.11 rocks/s), 3661032s/61017m/1016.95h/42.37d remaining; height: 0r140
Rock num: 37200 (273146.15 rocks/s), 3661045s/61017m/1016.95h/42.37d remaining; height: 0r39
Rock num: 37600 (273101.74 rocks/s), 3661648s/61027m/1017.12h/42.38d remaining; height: 0r79
Rock num: 38400 (273213.85 rocks/s), 3660147s/61002m/1016.70h/42.36d remaining; height: 0r113
Rock num: 38600 (273154.67 rocks/s), 3660938s/61015m/1016.92h/42.37d remaining; height: 0r37
Rock num: 39400 (273050.96 rocks/s), 3662332s/61038m/1017.30h/42.39d remaining; height: 0r90
Rock num: 39600 (273115.53 rocks/s), 3661461s/61024m/1017.07h/42.38d remaining; height: 0r193
Rock num: 39800 (273101.61 rocks/s), 3661648s/61027m/1017.12h/42.38d remaining; height: 0r96
Rock num: 40000 (273158.01 rocks/s), 3660884s/61014m/1016.90h/42.37d remaining; height: 0r16
Rock num: 40400 (273133.97 rocks/s), 3661219s/61020m/1017.00h/42.38d remaining; height: 0r33
Rock num: 41000 (273100.36 rocks/s), 3661662s/61027m/1017.12h/42.38d remaining; height: 0r192
Rock num: 41400 (273096.46 rocks/s), 3661715s/61028m/1017.13h/42.38d remaining; height: 0r189
Rock num: 42000 (273194.57 rocks/s), 3660402s/61006m/1016.77h/42.37d remaining; height: 0r140
Rock num: 42400 (273168.78 rocks/s), 3660750s/61012m/1016.87h/42.37d remaining; height: 0r165
Rock num: 42600 (273176.98 rocks/s), 3660643s/61010m/1016.83h/42.37d remaining; height: 0r90
Rock num: 43000 (273067.62 rocks/s), 3662104s/61035m/1017.25h/42.39d remaining; height: 0r98
Rock num: 43200 (273144.23 rocks/s), 3661072s/61017m/1016.95h/42.37d remaining; height: 0r10
Rock num: 43400 (273166.68 rocks/s), 3660777s/61012m/1016.87h/42.37d remaining; height: 0r118
Rock num: 43600 (273177.36 rocks/s), 3660630s/61010m/1016.83h/42.37d remaining; height: 0r39
Rock num: 43800 (273168.97 rocks/s), 3660750s/61012m/1016.87h/42.37d remaining; height: 0r164
Rock num: 44000 (273139.66 rocks/s), 3661139s/61018m/1016.97h/42.37d remaining; height: 0r65
Rock num: 44200 (273178.69 rocks/s), 3660616s/61010m/1016.83h/42.37d remaining; height: 0r174
Rock num: 44600 (273037.49 rocks/s), 3662507s/61041m/1017.35h/42.39d remaining; height: 0r13
Rock num: 45200 (273151.04 rocks/s), 3660978s/61016m/1016.93h/42.37d remaining; height: 0r142
Rock num: 45400 (273150.85 rocks/s), 3660991s/61016m/1016.93h/42.37d remaining; height: 0r46
Rock num: 46000 (273158.76 rocks/s), 3660884s/61014m/1016.90h/42.37d remaining; height: 0r192
Rock num: 46200 (273103.12 rocks/s), 3661622s/61027m/1017.12h/42.38d remaining; height: 0r121
Rock num: 46400 (273011.20 rocks/s), 3662855s/61047m/1017.45h/42.39d remaining; height: 0r23
Rock num: 46600 (273083.22 rocks/s), 3661890s/61031m/1017.18h/42.38d remaining; height: 0r117
Rock num: 47000 (273131.15 rocks/s), 3661246s/61020m/1017.00h/42.38d remaining; height: 0r153
Rock num: 47200 (273152.17 rocks/s), 3660965s/61016m/1016.93h/42.37d remaining; height: 0r62
Rock num: 47400 (273091.03 rocks/s), 3661782s/61029m/1017.15h/42.38d remaining; height: 0r181
Rock num: 48200 (273028.49 rocks/s), 3662627s/61043m/1017.38h/42.39d remaining; height: 0r23
Rock num: 48400 (273099.31 rocks/s), 3661675s/61027m/1017.12h/42.38d remaining; height: 0r134
Rock num: 48800 (273138.69 rocks/s), 3661152s/61019m/1016.98h/42.37d remaining; height: 0r164
Rock num: 49000 (273096.21 rocks/s), 3661715s/61028m/1017.13h/42.38d remaining; height: 0r89
Rock num: 49200 (273100.78 rocks/s), 3661662s/61027m/1017.12h/42.38d remaining; height: 0r189
Rock num: 49800 (273012.85 rocks/s), 3662842s/61047m/1017.45h/42.39d remaining; height: 0r136
Rock num: 50200 (273072.22 rocks/s), 3662037s/61033m/1017.22h/42.38d remaining; height: 0r147
Rock num: 50400 (273096.52 rocks/s), 3661715s/61028m/1017.13h/42.38d remaining; height: 0r66
Rock num: 51000 (273077.33 rocks/s), 3661970s/61032m/1017.20h/42.38d remaining; height: 0r198
Rock num: 51200 (273105.05 rocks/s), 3661595s/61026m/1017.10h/42.38d remaining; height: 0r119
Rock num: 51400 (273063.51 rocks/s), 3662158s/61035m/1017.25h/42.39d remaining; height: 0r46
Rock num: 51800 (273045.62 rocks/s), 3662399s/61039m/1017.32h/42.39d remaining; height: 0r46
Rock num: 52000 (272997.27 rocks/s), 3663043s/61050m/1017.50h/42.40d remaining; height: 0r158
Rock num: 52800 (273056.35 rocks/s), 3662252s/61037m/1017.28h/42.39d remaining; height: 0r12
Rock num: 53400 (272962.18 rocks/s), 3663513s/61058m/1017.63h/42.40d remaining; height: 0r148
Rock num: 53800 (273022.30 rocks/s), 3662708s/61045m/1017.42h/42.39d remaining; height: 0r165
Rock num: 54000 (273030.58 rocks/s), 3662600s/61043m/1017.38h/42.39d remaining; height: 0r88
Rock num: 54200 (273026.33 rocks/s), 3662654s/61044m/1017.40h/42.39d remaining; height: 0r15
Rock num: 54600 (273006.76 rocks/s), 3662922s/61048m/1017.47h/42.39d remaining; height: 0r21
Rock num: 54800 (273005.42 rocks/s), 3662936s/61048m/1017.47h/42.39d remaining; height: 0r159
Rock num: 55000 (272961.18 rocks/s), 3663526s/61058m/1017.63h/42.40d remaining; height: 0r62
Rock num: 55200 (272949.09 rocks/s), 3663687s/61061m/1017.68h/42.40d remaining; height: 0r165
Rock num: 55600 (273001.86 rocks/s), 3662990s/61049m/1017.48h/42.40d remaining; height: 0r190
Rock num: 55800 (272969.71 rocks/s), 3663419s/61056m/1017.60h/42.40d remaining; height: 0r94
Rock num: 56000 (272997.48 rocks/s), 3663043s/61050m/1017.50h/42.40d remaining; height: 0r12
Rock num: 56400 (272997.48 rocks/s), 3663043s/61050m/1017.50h/42.40d remaining; height: 0r43
Rock num: 56600 (273000.07 rocks/s), 3663003s/61050m/1017.50h/42.40d remaining; height: 0r170
Rock num: 57000 (272941.73 rocks/s), 3663795s/61063m/1017.72h/42.40d remaining; height: 0r171
Rock num: 57200 (272953.04 rocks/s), 3663634s/61060m/1017.67h/42.40d remaining; height: 0r84
Rock num: 57400 (273004.11 rocks/s), 3662949s/61049m/1017.48h/42.40d remaining; height: 0r5
Rock num: 57800 (272998.11 rocks/s), 3663030s/61050m/1017.50h/42.40d remaining; height: 0r34
Rock num: 58000 (273003.44 rocks/s), 3662963s/61049m/1017.48h/42.40d remaining; height: 0r136
Rock num: 58400 (272959.64 rocks/s), 3663553s/61059m/1017.65h/42.40d remaining; height: 0r180
Rock num: 58600 (272914.57 rocks/s), 3664157s/61069m/1017.82h/42.41d remaining; height: 0r73
Rock num: 59000 (272929.49 rocks/s), 3663956s/61065m/1017.75h/42.41d remaining; height: 0r89
Rock num: 59200 (272978.43 rocks/s), 3663298s/61054m/1017.57h/42.40d remaining; height: 0r13
Rock num: 59600 (272938.27 rocks/s), 3663835s/61063m/1017.72h/42.40d remaining; height: 0r42
Rock num: 60800 (273087.86 rocks/s), 3661836s/61030m/1017.17h/42.38d remaining; height: 0r117
Rock num: 61000 (273067.91 rocks/s), 3662104s/61035m/1017.25h/42.39d remaining; height: 0r19
Rock num: 61200 (273107.28 rocks/s), 3661568s/61026m/1017.10h/42.38d remaining; height: 0r139
Rock num: 61400 (273136.85 rocks/s), 3661179s/61019m/1016.98h/42.37d remaining; height: 0r45
Rock num: 61600 (273133.48 rocks/s), 3661219s/61020m/1017.00h/42.38d remaining; height: 0r165
Rock num: 61800 (273150.98 rocks/s), 3660991s/61016m/1016.93h/42.37d remaining; height: 0r94
Rock num: 62200 (273106.70 rocks/s), 3661581s/61026m/1017.10h/42.38d remaining; height: 0r98
Rock num: 62800 (273203.61 rocks/s), 3660281s/61004m/1016.73h/42.36d remaining; height: 0r41
Rock num: 63000 (273230.11 rocks/s), 3659919s/60998m/1016.63h/42.36d remaining; height: 0r159
Rock num: 63400 (273244.92 rocks/s), 3659732s/60995m/1016.58h/42.36d remaining; height: 0r181
Rock num: 63600 (273268.47 rocks/s), 3659411s/60990m/1016.50h/42.35d remaining; height: 0r110
Rock num: 63800 (273225.05 rocks/s), 3659986s/60999m/1016.65h/42.36d remaining; height: 0r0
Rock num: 64000 (273280.09 rocks/s), 3659250s/60987m/1016.45h/42.35d remaining; height: 0r107
Rock num: 64600 (273356.32 rocks/s), 3658232s/60970m/1016.17h/42.34d remaining; height: 0r61
Rock num: 65000 (273386.56 rocks/s), 3657831s/60963m/1016.05h/42.34d remaining; height: 0r74
Rock num: 65400 (273347.16 rocks/s), 3658353s/60972m/1016.20h/42.34d remaining; height: 0r113
Rock num: 65600 (273355.47 rocks/s), 3658246s/60970m/1016.17h/42.34d remaining; height: 0r16
Rock num: 65800 (273412.48 rocks/s), 3657483s/60958m/1015.97h/42.33d remaining; height: 0r118
Rock num: 66000 (273412.53 rocks/s), 3657483s/60958m/1015.97h/42.33d remaining; height: 0r43
Rock num: 66200 (273441.24 rocks/s), 3657095s/60951m/1015.85h/42.33d remaining; height: 0r147
Rock num: 66400 (273465.33 rocks/s), 3656774s/60946m/1015.77h/42.32d remaining; height: 0r66
Rock num: 66800 (273494.64 rocks/s), 3656387s/60939m/1015.65h/42.32d remaining; height: 0r85
Rock num: 67000 (273517.14 rocks/s), 3656079s/60934m/1015.57h/42.32d remaining; height: 0r16
Rock num: 67200 (273408.65 rocks/s), 3657537s/60958m/1015.97h/42.33d remaining; height: 0r125
